state_name,date,election_type,party,govt_type,election_key,state_abbr
illinois,2020-03-17,p,np,congress,2020-03-17-p-IL,IL
ohio,2020-04-28,p,np,congress,2020-04-28-p-OH,OH
nebraska,2020-05-12,p,np,congress,2020-05-12-p-NE,NE
oregon,2020-05-19,p,np,congress,2020-05-19-p-OR,OR
district of columbia,2020-06-02,p,np,congress,2020-06-02-p-DC,DC
indiana,2020-06-02,p,np,congress,2020-06-02-p-IN,IN
idaho,2020-06-02,p,np,congress,2020-06-02-p-ID,ID
iowa,2020-06-02,p,np,congress,2020-06-02-p-IA,IA
maryland,2020-06-02,p,np,congress,2020-06-02-p-MD,MD
montana,2020-06-02,p,np,congress,2020-06-02-p-MT,MT
new mexico,2020-06-02,p,np,congress,2020-06-02-p-NM,NM
pennsylvania,2020-06-02,p,np,congress,2020-06-02-p-PA,PA
south dakota,2020-06-02,p,np,congress,2020-06-02-p-SD,SD
georgia,2020-06-09,p,np,congress,2020-06-09-p-GA,GA
nevada,2020-06-09,p,np,congress,2020-06-09-p-NV,NV
north dakota,2020-06-09,p,np,congress,2020-06-09-p-ND,ND
south carolina,2020-06-09,p,np,congress,2020-06-09-p-SC,SC
west virginia,2020-06-09,p,np,congress,2020-06-09-p-WV,WV
kentucky,2020-06-23,p,np,congress,2020-06-23-p-KY,KY
new york,2020-06-23,p,np,congress,2020-06-23-p-NY,NY
virginia,2020-06-23,p,np,congress,2020-06-23-p-VA,VA
colorado,2020-06-30,p,np,congress,2020-06-30-p-CO,CO
oklahoma,2020-06-30,p,np,congress,2020-06-30-p-OK,OK
utah,2020-06-30,p,np,congress,2020-06-30-p-UT,UT
new jersey,2020-07-07,p,np,congress,2020-07-07-p-NJ,NJ
maine,2020-07-14,p,np,congress,2020-07-14-p-ME,ME
virgin islands,2020-08-01,p,np,congress,2020-08-01-p-VI,VI
arizona,2020-08-04,p,np,congress,2020-08-04-p-AZ,AZ
kansas,2020-08-04,p,np,congress,2020-08-04-p-KS,KS
michigan,2020-08-04,p,np,congress,2020-08-04-p-MI,MI
missouri,2020-08-04,p,np,congress,2020-08-04-p-MO,MO
washington,2020-08-04,p,np,congress,2020-08-04-p-WA,WA
tennessee,2020-08-06,p,np,congress,2020-08-06-p-TN,TN
hawaii,2020-08-08,p,np,congress,2020-08-08-p-HI,HI
puerto rico,2020-08-09,p,np,congress,2020-08-09-p-PR,PR
minnesota,2020-08-11,p,np,congress,2020-08-11-p-MN,MN
vermont,2020-08-11,p,np,congress,2020-08-11-p-VT,VT
wisconsin,2020-08-11,p,np,congress,2020-08-11-p-WI,WI
connecticut,2020-08-11,p,np,congress,2020-08-11-p-CT,CT
alaska,2020-08-18,p,np,congress,2020-08-18-p-AK,AK
florida,2020-08-18,p,np,congress,2020-08-18-p-FL,FL
wyoming,2020-08-18,p,np,congress,2020-08-18-p-WY,WY
guam,2020-08-29,p,np,congress,2020-08-29-p-GU,GU
massachusetts,2020-09-01,p,np,congress,2020-09-01-p-MA,MA
new hampshire,2020-09-08,p,np,congress,2020-09-08-p-NH,NH
rhode island,2020-09-08,p,np,congress,2020-09-08-p-RI,RI
delaware,2020-09-15,p,np,congress,2020-09-15-p-DE,DE
alabama,2002-06-04,p,np,congress,2002-06-04-p-AL,AL
alaska,2002-08-27,p,np,congress,2002-08-27-p-AK,AK
american samoa,2002-11-05,p,np,congress,2002-11-05-p-AS,AS
arizona,2002-09-10,p,np,congress,2002-09-10-p-AZ,AZ
arkansas,2002-05-21,p,np,congress,2002-05-21-p-AR,AR
california,2002-03-05,p,np,congress,2002-03-05-p-CA,CA
colorado,2002-08-13,p,np,congress,2002-08-13-p-CO,CO
connecticut,2002-09-10,p,np,congress,2002-09-10-p-CT,CT
delaware,2002-09-07,p,np,congress,2002-09-07-p-DE,DE
district of columbia,2002-09-10,p,np,congress,2002-09-10-p-DC,DC
florida,2002-09-10,p,np,congress,2002-09-10-p-FL,FL
georgia,2002-08-20,p,np,congress,2002-08-20-p-GA,GA
guam,2002-09-07,p,np,congress,2002-09-07-p-GU,GU
hawaii,2002-09-21,p,np,congress,2002-09-21-p-HI,HI
idaho,2002-05-28,p,np,congress,2002-05-28-p-ID,ID
illinois,2002-03-19,p,np,congress,2002-03-19-p-IL,IL
indiana,2002-05-07,p,np,congress,2002-05-07-p-IN,IN
iowa,2002-06-04,p,np,congress,2002-06-04-p-IA,IA
kansas,2002-08-06,p,np,congress,2002-08-06-p-KS,KS
kentucky,2002-05-28,p,np,congress,2002-05-28-p-KY,KY
maine,2002-06-11,p,np,congress,2002-06-11-p-ME,ME
maryland,2002-09-10,p,np,congress,2002-09-10-p-MD,MD
massachusetts,2002-09-17,p,np,congress,2002-09-17-p-MA,MA
michigan,2002-08-06,p,np,congress,2002-08-06-p-MI,MI
minnesota,2002-09-10,p,np,congress,2002-09-10-p-MN,MN
mississippi,2002-06-04,p,np,congress,2002-06-04-p-MS,MS
missouri,2002-08-06,p,np,congress,2002-08-06-p-MO,MO
montana,2002-06-04,p,np,congress,2002-06-04-p-MT,MT
nebraska,2002-05-14,p,np,congress,2002-05-14-p-NE,NE
nevada,2002-09-03,p,np,congress,2002-09-03-p-NV,NV
new hampshire,2002-09-10,p,np,congress,2002-09-10-p-NH,NH
new jersey,2002-06-04,p,np,congress,2002-06-04-p-NJ,NJ
new mexico,2002-06-04,p,np,congress,2002-06-04-p-NM,NM
new york,2002-09-10,p,np,congress,2002-09-10-p-NY,NY
