state_name,date,election_type,party,govt_type,election_key,state_abbr
california,2020-03-03,cp,n/a,congress,2020-03-03-cp-CA,CA
north carolina,2020-03-03,cp,n/a,congress,2020-03-03-cp-NC,NC
texas,2020-03-03,cp,n/a,congress,2020-03-03-cp-TX,TX
mississippi,2020-03-10,cp,n/a,congress,2020-03-10-cp-MS,MS
illinois,2020-03-17,cp,n/a,congress,2020-03-17-cp-IL,IL
ohio,2020-04-28,cp,n/a,congress,2020-04-28-cp-OH,OH
nebraska,2020-05-12,cp,n/a,congress,2020-05-12-cp-NE,NE
oregon,2020-05-19,cp,n/a,congress,2020-05-19-cp-OR,OR
d.c.,2020-06-02,cp,n/a,congress,,
indiana,2020-06-02,cp,n/a,congress,2020-06-02-cp-IN,IN
idaho,2020-06-02,cp,n/a,congress,2020-06-02-cp-ID,ID
iowa,2020-06-02,cp,n/a,congress,2020-06-02-cp-IA,IA
maryland,2020-06-02,cp,n/a,congress,2020-06-02-cp-MD,MD
montana,2020-06-02,cp,n/a,congress,2020-06-02-cp-MT,MT
new mexico,2020-06-02,cp,n/a,congress,2020-06-02-cp-NM,NM
pennsylvania,2020-06-02,cp,n/a,congress,2020-06-02-cp-PA,PA
south dakota,2020-06-02,cp,n/a,congress,2020-06-02-cp-SD,SD
georgia,2020-06-09,cp,n/a,congress,2020-06-09-cp-GA,GA
nevada,2020-06-09,cp,n/a,congress,2020-06-09-cp-NV,NV
north dakota,2020-06-09,cp,n/a,congress,2020-06-09-cp-ND,ND
south carolina,2020-06-09,cp,n/a,congress,2020-06-09-cp-SC,SC
west virginia,2020-06-09,cp,n/a,congress,2020-06-09-cp-WV,WV
kentucky,2020-06-23,cp,n/a,congress,2020-06-23-cp-KY,KY
new york,2020-06-23,cp,n/a,congress,2020-06-23-cp-NY,NY
virginia,2020-06-23,cp,n/a,congress,2020-06-23-cp-VA,VA
colorado,2020-06-30,cp,n/a,congress,2020-06-30-cp-CO,CO
oklahoma,2020-06-30,cp,n/a,congress,2020-06-30-cp-OK,OK
utah,2020-06-30,cp,n/a,congress,2020-06-30-cp-UT,UT
new jersey,2020-07-07,cp,n/a,congress,2020-07-07-cp-NJ,NJ
maine,2020-07-14,cp,n/a,congress,2020-07-14-cp-ME,ME
virgin islands,2020-08-01,cp,n/a,congress,2020-08-01-cp-VI,VI
arizona,2020-08-04,cp,n/a,congress,2020-08-04-cp-AZ,AZ
kansas,2020-08-04,cp,n/a,congress,2020-08-04-cp-KS,KS
michigan,2020-08-04,cp,n/a,congress,2020-08-04-cp-MI,MI
missouri,2020-08-04,cp,n/a,congress,2020-08-04-cp-MO,MO
